2019-11-03 23:25:54,b'@Sanguinarian1 @luna_miggy You can be clever and edgy but there is the key word clever. \n\nAlso thank Penny is so cu\xe2\x80\xa6 https://t.co/ZU9EY07KUI',,
2019-11-03 23:25:53,b'@MiahhNotMia @yugi_FTP used * to do black face on his channel . not saying it\xe2\x80\x99s right but key word USED to and has\xe2\x80\xa6 https://t.co/qr8vuLeArJ',,
2019-11-03 23:24:31,"b'@yahuda101 @Roadeyez key word ""Alleges"" .  aka Alternative Facts.'",,
2019-11-03 23:24:16,b'Consentual being the key word here. She was young I\xe2\x80\x99m guessing https://t.co/V2pvjfh555',,
2019-11-03 23:22:51,b'@EgreenComedy It takes two people. I hate the word trapped and it always is said against a woman and never a man. T\xe2\x80\xa6 https://t.co/PMCTQDE1oH',,
2019-11-03 23:21:57,"b'I still can\xe2\x80\x99t believe that after 3+ years, bitches still can\xe2\x80\x99t let go of the fact that I used to draw Septiplier!!\xe2\x80\xa6 https://t.co/4a897VjHWf'",,
2019-11-03 23:20:58,"b""@Venus_wa_Mars @Mars_Wa_Venus Key word..p'le who smile at you!\xf0\x9f\xa4\x97""",,
2019-11-03 23:20:06,"b""RT @JackCouchProhet: @Eldermld1 It's what Jesus says not well we believe it's what Jesus says that we believe he knows our heart he knows o\xe2\x80\xa6""",,
2019-11-03 23:20:02,"b""@Eldermld1 It's what Jesus says not well we believe it's what Jesus says that we believe he knows our heart he know\xe2\x80\xa6 https://t.co/LHP7oPUnxd""","Place(_api=<tweepy.api.API object at 0x1184a9470>, id='5d0d947a314356b7', url='https://api.twitter.com/1.1/geo/id/5d0d947a314356b7.json', place_type='city', name='Waterford', full_name='Waterford, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1184a9470>, type='Polygon', coordinates=[[[-83.44622, 42.611619], [-83.325405, 42.611619], [-83.325405, 42.705913], [-83.44622, 42.705913]]]), attributes={})",
2019-11-03 23:16:59,"b""RT @DennisRenner5: @Thomas1774Paine The key word here that will have everyone setting up and hanging on every word what's his name says is\xe2\x80\xa6""",,
2019-11-03 23:13:50,b'@LavenderLady0 @oneredsoprano Key Word:   ALL',,
2019-11-03 23:12:54,b'@TimOBrien Key word: \xe2\x80\x9csome\xe2\x80\x9d how may equate to \xe2\x80\x9csome\xe2\x80\x9d a few? Oh and because UFC Dana White supports Trump it\xe2\x80\x99s blood\xe2\x80\xa6 https://t.co/VjaEvNsw8i',"Place(_api=<tweepy.api.API object at 0x1184a9470>, id='5b0b1baf24cf0a6a', url='https://api.twitter.com/1.1/geo/id/5b0b1baf24cf0a6a.json', place_type='city', name='Tinley Park', full_name='Tinley Park, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1184a9470>, type='Polygon', coordinates=[[[-87.853527, 41.5278885], [-87.742767, 41.5278885], [-87.742767, 41.604053], [-87.853527, 41.604053]]]), attributes={})",
2019-11-03 23:10:55,b'@realDonaldTrump Key word.  \xe2\x80\x9cMajority\xe2\x80\x9d',,
2019-11-03 23:10:33,b'RT @_jaylean: I hope we all get the things we deserve out of life.\n\nKey word: deserve.\nHope you were a good person.',,
2019-11-03 23:10:02,"b""RT @mala_faka_flame: And bruh I ain't nowhere near perfect I'm barely movin I definitely don't have it....YET lol but the key word is a ngg\xe2\x80\xa6""",,
2019-11-03 23:08:58,"b""@realDonaldTrump Innocent people wouldn't be worried...innocent being the key word... https://t.co/unN8KrIkjJ""",,
2019-11-03 23:07:23,"b'RT @doreen_rabi: The key word here is \xe2\x80\x9celegant\xe2\x80\x9d.  Unhurried medicine = relationship building, trust, thoughtful care. Which in turn=quality\xe2\x80\xa6'",,
2019-11-03 23:06:59,"b""I'm making another account that i might use more mainly than this one (key word: MIGHT) but here are some select fe\xe2\x80\xa6 https://t.co/foTgoy3mIL""",,
2019-11-03 23:06:42,b'@Tito506 Key word .....were',,
2019-11-03 23:06:36,"b'@GavinNewsom Key word to your unfound logic ... ""Believe"".   CC is a belief system, not scientific.'",,
2019-11-03 23:06:30,"b'@YusukeKitsune ""Key word yet~"" he teases and pecks his cheek'",,
2019-11-03 23:01:23,"b'@LukanderSanna Key word, ""fun learning""! Love this.'",,
2019-11-03 22:59:58,b'RT @Sabri_gues: Guys we need a key word to make it trend in the plataforms (Nave;r and Nat;e) which his name is the last in the top(10) so\xe2\x80\xa6',,
2019-11-03 22:58:04,b'RT @ImSo_Petty: Now a days girl code doesn\xe2\x80\x99t even exist to some of these hoes key word \xe2\x80\x9choes\xe2\x80\x9d',,
2019-11-03 22:57:46,b'key word imagine https://t.co/cRg2ZwRBH1',,
2019-11-03 22:54:29,b'@jenelaina perhaps a key word in your pinned tweet pertaining to ongoing ME etal kinetics &amp; municipal associations -ls',,
2019-11-03 22:53:45,b'RT @_jaylean: I hope we all get the things we deserve out of life.\n\nKey word: deserve.\nHope you were a good person.',,
2019-11-03 22:51:10,"b'RT @doreen_rabi: The key word here is \xe2\x80\x9celegant\xe2\x80\x9d.  Unhurried medicine = relationship building, trust, thoughtful care. Which in turn=quality\xe2\x80\xa6'",,
2019-11-03 22:50:30,b'@DervishOfWhirl Key word: most.',,
2019-11-03 22:48:18,"b'@Bhaal_Spawn The Key turns, and She eases the First Book open judiciously. \xe2\x80\x9cIn principio creavit Deus c\xc3\xa6lum et infe\xe2\x80\xa6 https://t.co/TR2GLWMJ2u'",,
2019-11-03 22:48:02,b'Great to have switched on the radio &amp; hear @DrJenGunter talking on @checkupcbc about #pseudoscience and\xe2\x80\xa6 https://t.co/7Fyzz8Lrrk',,
2019-11-03 22:47:15,"b'RT @doreen_rabi: The key word here is \xe2\x80\x9celegant\xe2\x80\x9d.  Unhurried medicine = relationship building, trust, thoughtful care. Which in turn=quality\xe2\x80\xa6'",,
2019-11-03 22:46:38,"b'RT @NBA: So, @Shakira & @The_Real_Shaq almost became ""Shaqira"" on Sunday Night, as shown here: http://bit.ly/Shaqira (Key Word: Almost)'",,
2019-11-03 22:44:55,"b""@GavinNewsom Key word is 'believe'. It is a religious cult.""",,
2019-11-03 22:44:50,"b'RT @keyclub_nhhs: Monday is the first day of #keyclubweek, show your K to the word by wearing Key Club gear or by wearing Key Club colors b\xe2\x80\xa6'",,
2019-11-03 22:44:25,"b'Monday is the first day of #keyclubweek, show your K to the word by wearing Key Club gear or by wearing Key Club co\xe2\x80\xa6 https://t.co/TYxdYgqgqs'",,
